id;nome;cep;cidade;logradouro;codigo_ibge
1;Dynamic caramelo;up methodologies;exploit;bordô Mato bypass;local Naira Markets
2;Avenida core;context-sensitive;Aço SMTP;Alameda Supervisor;Rústico Bedfordshire
3;experiences;THX deposit;wireless Jibuti Alameda;reboot regional Toalhas;Rodovia Global indexing
4;Bola reboot;Rondônia;user-centric Marginal;Synergistic Frango;optical
5;bandwidth Paradigm SQL;Alameda Real Bedford;wireless Loan Mato;Jardim;magnetic structure Accountability
6;proactive Optimization;6th salmão;Liaison jade intermediate;Director Reverse-engineered Feito;innovate Manager
7;cross-platform;turn-key Customer mo;functionalities wireless;deposit;Berkshire index Cambridgeshire
8;Plástico Madagascar digital;system;haptic disintermediate Investment;interface;Global
9;Bedfordshire;overriding back-end;Malvinas;Plástico Portugal local;Account Sergipe Secured
10;JBOD Bicicleta Jardim;Avenida program Maci;Algodão transition Avenida;Congelado;Travessa
